year,semester,grade,subject_name,question_number,answer
2020,1,1,아동관찰및행동연구,1,4
2020,1,1,아동관찰및행동연구,2,3
2020,1,1,아동관찰및행동연구,3,2
2020,1,1,아동관찰및행동연구,4,4
2020,1,1,아동관찰및행동연구,5,3
2020,1,1,아동관찰및행동연구,6,1
2020,1,1,아동관찰및행동연구,7,1
2020,1,1,아동관찰및행동연구,8,3
2020,1,1,아동관찰및행동연구,9,2
2020,1,1,아동관찰및행동연구,10,2
2020,1,1,아동관찰및행동연구,11,3
2020,1,1,아동관찰및행동연구,12,1
2020,1,1,아동관찰및행동연구,13,2
2020,1,1,아동관찰및행동연구,14,4
2020,1,1,아동관찰및행동연구,15,3
2020,1,1,아동관찰및행동연구,16,1
2020,1,1,아동관찰및행동연구,17,3
2020,1,1,아동관찰및행동연구,18,4
2020,1,1,아동관찰및행동연구,19,3
2020,1,1,아동관찰및행동연구,20,1
2020,1,1,아동관찰및행동연구,21,2
2020,1,1,아동관찰및행동연구,22,1
2020,1,1,아동관찰및행동연구,23,3
2020,1,1,아동관찰및행동연구,24,4
2020,1,1,아동관찰및행동연구,25,1
2020,1,1,아동관찰및행동연구,26,4
2020,1,1,아동관찰및행동연구,27,2
2020,1,1,아동관찰및행동연구,28,1
2020,1,1,아동관찰및행동연구,29,3
2020,1,1,아동관찰및행동연구,30,1
2020,1,1,아동관찰및행동연구,31,3
2020,1,1,아동관찰및행동연구,32,2
2020,1,1,아동관찰및행동연구,33,4
2020,1,1,아동관찰및행동연구,34,4
2020,1,1,아동관찰및행동연구,35,1
2020,1,2,아동생활지도,1,1
2020,1,2,아동생활지도,2,4
2020,1,2,아동생활지도,3,3
2020,1,2,아동생활지도,4,3
2020,1,2,아동생활지도,5,2
2020,1,2,아동생활지도,6,1
2020,1,2,아동생활지도,7,4
2020,1,2,아동생활지도,8,1
2020,1,2,아동생활지도,9,2
2020,1,2,아동생활지도,10,4
2020,1,2,아동생활지도,11,2
2020,1,2,아동생활지도,12,2
2020,1,2,아동생활지도,13,3
2020,1,2,아동생활지도,14,1
2020,1,2,아동생활지도,15,4
2020,1,2,아동생활지도,16,2
2020,1,2,아동생활지도,17,4
