year,semester,grade,subject_name,question_number,answer
2020,2,1,놀이지도,1,2
2020,2,1,놀이지도,2,1
2020,2,1,놀이지도,3,3
2020,2,1,놀이지도,4,4
2020,2,1,놀이지도,5,2
2020,2,1,놀이지도,6,1
2020,2,1,놀이지도,7,3
2020,2,1,놀이지도,8,1
2020,2,1,놀이지도,9,2
2020,2,1,놀이지도,10,4
2020,2,1,놀이지도,11,3
2020,2,1,놀이지도,12,4
2020,2,1,놀이지도,13,1
2020,2,1,놀이지도,14,2
2020,2,1,놀이지도,15,3
2020,2,1,놀이지도,16,4
2020,2,1,놀이지도,17,4
2020,2,1,놀이지도,18,1
2020,2,1,놀이지도,19,2
2020,2,1,놀이지도,20,"1,2"
2020,2,1,놀이지도,21,3
2020,2,1,놀이지도,22,2
2020,2,1,놀이지도,23,3
2020,2,1,놀이지도,24,4
2020,2,1,놀이지도,25,3
2020,2,1,놀이지도,26,2
2020,2,1,놀이지도,27,1
2020,2,1,놀이지도,28,2
2020,2,1,놀이지도,29,1
2020,2,1,놀이지도,30,4
2020,2,1,놀이지도,31,3
2020,2,1,놀이지도,32,4
2020,2,1,놀이지도,33,3
2020,2,1,놀이지도,34,1
2020,2,1,놀이지도,35,2
2020,2,1,아동미술,1,3
2020,2,1,아동미술,2,2
2020,2,1,아동미술,3,4
2020,2,1,아동미술,4,4
2020,2,1,아동미술,5,2
2020,2,1,아동미술,6,3
2020,2,1,아동미술,7,4
2020,2,1,아동미술,8,2
2020,2,1,아동미술,9,3
2020,2,1,아동미술,10,2
2020,2,1,아동미술,11,3
2020,2,1,아동미술,12,3
2020,2,1,아동미술,13,4
2020,2,1,아동미술,14,2
2020,2,1,아동미술,15,1
2020,2,1,아동미술,16,3
2020,2,1,아동미술,17,2
2020,2,1,아동미술,18,4
2020,2,1,아동미술,19,3
2020,2,1,아동미술,20,2
2020,2,1,아동미술,21,1
2020,2,1,아동미술,22,4
2020,2,1,아동미술,23,2
2020,2,1,아동미술,24,3
2020,2,1,아동미술,25,4
2020,2,1,아동미술,26,3
2020,2,1,아동미술,27,2
2020,2,1,아동미술,28,4
2020,2,1,아동미술,29,3
2020,2,1,아동미술,30,2
2020,2,1,아동미술,31,4
2020,2,1,아동미술,32,3
2020,2,1,아동미술,33,2
2020,2,1,아동미술,34,4
2020,2,1,아동미술,35,3
2020,2,1,아동복지,1,1
2020,2,1,아동복지,2,4
2020,2,1,아동복지,3,3
2020,2,1,아동복지,4,2
2020,2,1,아동복지,5,3
2020,2,1,아동복지,6,2
2020,2,1,아동복지,7,3
2020,2,1,아동복지,8,2
2020,2,1,아동복지,9,4
2020,2,1,아동복지,10,3
