year,semester,grade,subject_name,question_number,answer
2016,2,1,생물과학,1,4
2016,2,1,생물과학,2,4
2016,2,1,생물과학,3,1
2016,2,1,생물과학,4,1
2016,2,1,생물과학,5,2
2016,2,1,생물과학,6,3
2016,2,1,생물과학,7,2
2016,2,1,생물과학,8,"1,2"
2016,2,1,생물과학,9,1
2016,2,1,생물과학,10,2
2016,2,1,생물과학,11,4
2016,2,1,생물과학,12,2
2016,2,1,생물과학,13,3
2016,2,1,생물과학,14,2
2016,2,1,생물과학,15,3
2016,2,1,생물과학,16,"2,3"
2016,2,1,생물과학,17,2
2016,2,1,생물과학,18,4
2016,2,1,생물과학,19,4
2016,2,1,생물과학,20,2
2016,2,1,생물과학,21,3
2016,2,1,생물과학,22,4
2016,2,1,생물과학,23,1
2016,2,1,생물과학,24,4
2016,2,1,생물과학,25,3
2016,2,1,생물과학,26,1
2016,2,1,생물과학,27,4
2016,2,1,생물과학,28,1
2016,2,1,생물과학,29,3
2016,2,1,생물과학,30,2
2016,2,1,생물과학,31,1
2016,2,1,생물과학,32,2
2016,2,1,생물과학,33,4
2016,2,1,생물과학,34,1
2016,2,1,생물과학,35,3
2016,2,1,인간과과학,1,4
2016,2,1,인간과과학,2,2
2016,2,1,인간과과학,3,4
2016,2,1,인간과과학,4,2
2016,2,1,인간과과학,5,3
2016,2,1,인간과과학,6,2
2016,2,1,인간과과학,7,1
2016,2,1,인간과과학,8,1
2016,2,1,인간과과학,9,4
2016,2,1,인간과과학,10,4
2016,2,1,인간과과학,11,2
2016,2,1,인간과과학,12,3
2016,2,1,인간과과학,13,3
2016,2,1,인간과과학,14,3
2016,2,1,인간과과학,15,1
2016,2,1,인간과과학,16,3
2016,2,1,인간과과학,17,4
2016,2,1,인간과과학,18,1
2016,2,1,인간과과학,19,2
2016,2,1,인간과과학,20,2
2016,2,1,인간과과학,21,1
2016,2,1,인간과과학,22,4
2016,2,1,인간과과학,23,3
2016,2,1,인간과과학,24,2
2016,2,1,인간과과학,25,4
2016,2,1,인간과사회,1,1
2016,2,1,인간과사회,2,2
2016,2,1,인간과사회,3,3
2016,2,1,인간과사회,4,3
2016,2,1,인간과사회,5,4
2016,2,1,인간과사회,6,4
2016,2,1,인간과사회,7,3
2016,2,1,인간과사회,8,2
2016,2,1,인간과사회,9,4
2016,2,1,인간과사회,10,2
2016,2,1,인간과사회,11,2
2016,2,1,인간과사회,12,3
2016,2,1,인간과사회,13,4
2016,2,1,인간과사회,14,1
2016,2,1,인간과사회,15,2
2016,2,1,인간과사회,16,4
2016,2,1,인간과사회,17,4
2016,2,1,인간과사회,18,3
2016,2,1,인간과사회,19,1
2016,2,1,인간과사회,20,1
2016,2,1,인간과사회,21,2
2016,2,1,인간과사회,22,"1,3"
2016,2,1,인간과사회,23,4
2016,2,1,인간과사회,24,3
2016,2,1,인간과사회,25,2
2016,2,1,인간과사회,26,2
2016,2,1,인간과사회,27,1
2016,2,1,인간과사회,28,4
2016,2,1,인간과사회,29,4
2016,2,1,인간과사회,30,3
2016,2,1,인간과사회,31,4
2016,2,1,인간과사회,32,3
2016,2,1,인간과사회,33,3
2016,2,1,인간과사회,34,1
2016,2,1,인간과사회,35,2
2016,2,1,초급중국어2,1,2
2016,2,1,초급중국어2,2,2
2016,2,1,초급중국어2,3,1
2016,2,1,초급중국어2,4,4
2016,2,1,초급중국어2,5,1
2016,2,1,초급중국어2,6,3
2016,2,1,초급중국어2,7,1
2016,2,1,초급중국어2,8,4
2016,2,1,초급중국어2,9,3
2016,2,1,초급중국어2,10,2
2016,2,1,초급중국어2,11,1
2016,2,1,초급중국어2,12,4
2016,2,1,초급중국어2,13,2
2016,2,1,초급중국어2,14,3
2016,2,1,초급중국어2,15,3
2016,2,1,초급중국어2,16,3
2016,2,1,초급중국어2,17,1
2016,2,1,초급중국어2,18,2
2016,2,1,초급중국어2,19,4
2016,2,1,초급중국어2,20,1
2016,2,1,초급중국어2,21,2
2016,2,1,초급중국어2,22,3
2016,2,1,초급중국어2,23,1
2016,2,1,초급중국어2,24,2
2016,2,1,초급중국어2,25,2
2016,2,1,대학영어,1,2
2016,2,1,대학영어,2,1
2016,2,1,대학영어,3,4
2016,2,1,대학영어,4,3
2016,2,1,대학영어,5,3
2016,2,1,대학영어,6,4
2016,2,1,대학영어,7,2
2016,2,1,대학영어,8,1
2016,2,1,대학영어,9,2
2016,2,1,대학영어,10,1
2016,2,1,대학영어,11,4
2016,2,1,대학영어,12,2
2016,2,1,대학영어,13,4
2016,2,1,대학영어,14,1
2016,2,1,대학영어,15,1
2016,2,1,대학영어,16,2
2016,2,1,대학영어,17,3
2016,2,1,대학영어,18,4
2016,2,1,대학영어,19,1
2016,2,1,대학영어,20,2
2016,2,1,대학영어,21,3
2016,2,1,대학영어,22,3
2016,2,1,대학영어,23,4
2016,2,1,대학영어,24,1
2016,2,1,대학영어,25,2
2016,2,1,대학영어,26,1
2016,2,1,대학영어,27,3
2016,2,1,대학영어,28,1
2016,2,1,대학영어,29,2
2016,2,1,대학영어,30,4
2016,2,1,대학영어,31,3
2016,2,1,대학영어,32,1
2016,2,1,대학영어,33,4
2016,2,1,대학영어,34,2
2016,2,1,대학영어,35,3
2016,2,1,언어의이해,1,2
2016,2,1,언어의이해,2,1
2016,2,1,언어의이해,3,3
2016,2,1,언어의이해,4,1
2016,2,1,언어의이해,5,2
2016,2,1,언어의이해,6,2
2016,2,1,언어의이해,7,"1,2"
2016,2,1,언어의이해,8,2
2016,2,1,언어의이해,9,1
2016,2,1,언어의이해,10,2
2016,2,1,언어의이해,11,1
2016,2,1,언어의이해,12,4
2016,2,1,언어의이해,13,2
2016,2,1,언어의이해,14,2
2016,2,1,언어의이해,15,1
2016,2,1,언어의이해,16,1
2016,2,1,언어의이해,17,2
2016,2,1,언어의이해,18,1
2016,2,1,언어의이해,19,1
2016,2,1,언어의이해,20,2
2016,2,1,언어의이해,21,1
